phoneme_A,phoneme_B,cooccurrence,jaccard,phi,freq_A,freq_B,class_A,class_B,pair_type
˦,˨,459,0.9603,-0.0089,470,467,tone,tone,tone-tone
i,u,1925,0.93,0.0132,2046,1949,vowel,vowel,vowel-vowel
m,i,1975,0.9085,-0.0254,2103,2046,consonant,vowel,consonant-vowel
k,p,1793,0.8929,0.0623,1965,1836,consonant,consonant,consonant-consonant
iː,uː,689,0.8867,-0.0191,763,703,vowel,vowel,vowel-vowel
m,j,1894,0.8764,0.0629,2103,1952,consonant,consonant,consonant-consonant
m,k,1898,0.8747,-0.0093,2103,1965,consonant,consonant,consonant-consonant
mb,nd,233,0.8694,-0.0299,259,242,consonant,consonant,consonant-consonant
m,u,1882,0.8673,-0.0135,2103,1949,consonant,vowel,consonant-vowel
i,k,1862,0.8664,0.0943,2046,1965,vowel,consonant,vowel-consonant
i,a,1838,0.8633,0.0099,2046,1921,vowel,vowel,vowel-vowel
j,w,1752,0.8626,-0.0455,1952,1831,consonant,consonant,consonant-consonant
e,o,1277,0.8582,0.0144,1399,1366,vowel,vowel,vowel-vowel
m,a,1850,0.851,-0.052,2103,1921,consonant,vowel,consonant-vowel
mb,ŋɡ,228,0.8507,-0.0503,259,237,consonant,consonant,consonant-consonant
kʰ,pʰ,333,0.8473,0.0047,370,356,consonant,consonant,consonant-consonant
ɡb,kp,271,0.8469,-0.0394,296,295,consonant,consonant,consonant-consonant
i,j,1831,0.8449,-0.028,2046,1952,vowel,consonant,vowel-consonant
eː,oː,453,0.842,0.0232,499,492,vowel,vowel,vowel-vowel
m,n,1772,0.8362,0.0925,2103,1788,consonant,consonant,consonant-consonant
